name,value,unit
Gross regional product ,5491.65,billion Yuan
Gross of first industry,144.58,billion Yuan
Gross of second industry,2402.04,billion Yuan
Gross of tertiary industry,2945.06,billion Yuan
Large Enterprise,"23,116",
Foreign capital,25.64,billion USD
